no,tango,kana,en,zh,vi
0001,合図,あいず,Signal,信号、暗号,ra hiệu
0002,あおむけ,,Lie on your back,仰面朝上,"ngửa mặt, nằm ngửa"
0003,空き,あき,"Free, empty",空位、空房,"trống, phòng trống"
0004,悪魔,あくま,"Demon, devil",恶魔、魔鬼,ác quỷ
0005,味見,あじみ,"Taste, try",尝味道,nếm thử
0006,当たり,あたり,"Hit, win",中奖、命中,trúng
0007,当たり前,あたりまえ,"Naturally, of course",当然、理所应当,điều đương nhiên
0008,悪化,あっか,"Worsen, deteriorate",恶化,xấu đi
0009,圧力,あつりょく,Pressure,压力,áp lực
0010,脂,あぶら,"Fat, grease",油脂、脂肪,mỡ
0011,現れ,あらわれ,Manifestation,表现、结果,biểu hiện
0012,アルカリ性,アルカリせい,Alkaline,碱性,tính kiềm
0013,アルミ（アルミニウム）,,Aluminum,铝,nhôm
0014,案,あん,Plan,方案、意见,phương án
0015,安定,あんてい,Stable,稳定、安稳,ổn định
0016,家出,いえで,Run away from home,离家出走,bỏ nhà đi
0017,生きがい,いきがい,Reason to live,生活的意义,lẽ sống
0018,育児,いくじ,Childcare,养育幼儿,chăm sóc con cái
0019,イコール,,Equal,等于、相等,"công bằng, tương đương"
0020,意志,いし,"Will, intent",意志、意向,ý chí
0021,意識,いしき,Consciousness,意识、知觉,ý thức
0022,衣食住,いしょくじゅう,"Clothing, food and lodging",衣食住行,nhu cầu sinh hoạt thiết yếu
0023,意地悪,いじわる,"Mean, nasty",捉弄、刁难,trêu chọc
0024,一部分,いちぶぶん,Part,一部分,một phần
0025,一面,いちめん,"One side, as far as the eye can see",一面、一片、片面,"một mặt, mặt"
0026,一流,いちりゅう,Top class,一流,"hàng đầu, cao cấp, đẳng cấp"
0027,一家,いっか,Family,一家、全家,"cả nhà, cả gia đình"
0028,一種,いっしゅ,"Kind, type",一种、一类,một loại
0029,一生,いっしょう,"Lifetime, life",一生、一辈子,"cả đời, cuộc đời"
0030,一致,いっち,"Consistent, unanimous",一致,"nhất trí, thống nhất, giống nhau"
0031,一定,いってい,Constant,一定、固定,"ổn định, cố định"
0032,移転,いてん,"Transfer, move",搬迁,"chuyển, di dời"
0033,衣服,いふく,"Clothes, clothing",衣服、衣裳,trang phục
0034,意欲,いよく,Motivation,热情、积极性,mong muốn
0035,依頼,いらい,Request,委托、请求,"yêu cầu, nhờ"
0036,衣料,いりょう,"Clothes, clothing",衣服,quần áo
0037,衣類,いるい,"Clothes, clothing",衣服、衣裳,"đồ mặc, quần áo"
0038,飲食,いんしょく,Food and drink,饮食、吃喝,ăn uống
0039,引退,いんたい,Retirement,辞职、退出,"rút lui, nghỉ"
0040,飲料水,いんりょうすい,Potable water,饮用水,nước uống
0041,打ち合わせ,うちあわせ,Preliminary meeting,事先商量会,"bàn bạc, thảo luận, họp"
0042,有無,うむ,Whether or not something is available,有无、有没有,có không
0043,運,うん,"Luck, fortune",运气、命运,"vận, số"
